source,year,abstract,label
Sistemasi (Sistem Informasi) UNISI,2015,"Kemajuan teknologi banyak memberian pengaruh dalam proses pekerjaan dibidang pertanian, dimana banyak peralatan pertanian yang dikembangkan sehingga proses pekerjaan pertanian dapat diselesaikan dengan baik dan memberikan hasil yang lebih baik dari segi kualitas maupun kuantitas. Cabai merupakan salah satu komuditi agrobisnis pertanian atau perkebunan di indonesia yang banyak diminati oleh para petani. Hal ini disebabkan makanan di Indonesia pada umumnya banyak menggunakan cabai, sehingga cabai menjadi komuditi yang sangat menjanjikan bagi petani. Masalahnya pada saat tanaman cabai terinfeksi oleh penyakit maupun hama tertentu, sehingga para petani perlu untuk mendiagnosa tanamannya tersebut, maka bukan saja akan membuat biaya untuk pembelian pestisida yang membengkak akan tetapi juga dapat mengakibatkan tanaman cabai mati sehingga panen menjadi gagal. Untuk itulah perlu dikembangkan suatu sistem pakar untuk membantu mendiagnosa ganguan pada tanaman cabai, yang bertujuan untuk mengadopsi kemampuan yang mirip dengan pakar dalam berfikir atau bernalar dengan ketelitian serta informasi yang tepat serta akurat sehingga dapat menggantikan peran dari seorang pakar dalam hal mencari solusi serta memberi keputusan sehinga memberikan kemudahan bagi orang awam dalam mendiagnosa gangguan pada tanaman cabai. Kata kunci: Cabai, Pestisida, Petani, Sistem Pakar.",human
Sistemasi (Sistem Informasi) UNISI,2016,"Inventory merupakan kata lain dari persediaan, istilah persediaan disini maksudnya menujukkan barang-barang yang dimiliki perusahaan. Persediaan dapat mengambil bentuk yang tergantung pada jenis usaha yang ditekuni oleh perusahaan yang bersangkutan. TB. Cipta Karya merupakan sebuah badan usaha yang bergerak dibidang penjualan bahan bangunan. Pada TB. Cipta Karya, data barang disimpan dalam bentuk tumpukan faktur pembelian yang memungkinkan terjadinya kehilangan data barang, perhitungan setiap transaksi masih menggunakan perhitungan manual sehingga memungkinkan terjadinya kesalahan terhadap jumlah total harga, pengendalian terhadap persediaan barang masih kurang terkontrol serta pembuatan laporan yang dilakukan pada TB.Cipta Karya yaitu dengan mencatat seluruh transaksi yang telah dilakukan. Untuk mengatasi permasalahan yang terdapat pada TB. Cipta Karya, maka diperlukan pemanfaatan teknologi seperti komputer beserta program aplikasi yang dapat membantu proses pengolahan data pembelian, penjualan, persediaan barang, serta pembuatan laporan secara cepat dan akurat. Sistem baru yang dirancang menggunakan Adobe Dreamweaver sebagai software untuk membuat sistem informasi inventory, dan MySQL sebagai perancangan database. Penelitian ini menghasilkan suatu aplikasi program yang dapat mempermudah dalam penyimpanan data serta pencarian data barang yang dibutuhkan, mempermudah perhitungan setiap transaksi, pengendalian terhadap persediaan barang bisa terkontrol baik, serta mempermudah pembuatan laporan.Kata Kunci : Inventory, Adobe Dreamweaver, MySQL, Database",human
Sistemasi (Sistem Informasi) UNISI,2014,"Kesulitan melakukan pemilihan Pegawai Negeri yang cocok untuk menjadi Pegawai Teladan menjadikan kendala Kantor Camat Tembilahan Kabupaten Indragiri Hilir. Metode Technique For Others Preference By Similarity To Ideal Solution (TOPSIS) menjadi jawaban atas kesulitan yang dihadapi Kantor Camat Tembilahan Kabupaten Indragiri Hilir dengan menentukan kriteria dan alternatif yang menjadi acuan untuk membentuk nilai keputusan dan melakukan perhitungan matrik sehingga terbentuknya goal yang tepat pada sasaran terhadap keputusan Penetapan Pegawai Teladan Kantor Camat Tembilahan Kabupaten Indragiri Hilir. Kata Kunci :Camat, TOPSIS,MySql.",human
Sistemasi (Sistem Informasi) UNISI,2013,"Sekolah Menengah Kejuruan (SMK) Negeri 1 Kempas merupakan salah satu sekolah kejuruan Negeri yang ada di Kecamatan Kempas Kabupaten Indragiri hilir yang membutuhkan sebuah teknologi informasi dalam pengambilan keputusan keluluasan untuk mengetahui hasil belajar dan prestasi siswa. Dalam pelaksanaannya sistem pengambilan keputusan kelulusan pada Sekolah Menengah Kejuruan (SMK) Negeri 1 Kempas Kabupaten Indragiri Hilir masih mengalami kendala. Oleh karena itu penulis tertarik untuk mengangkat permasalahan tersebut sebagai judul penelitian: “ Analisa dan Perancangan Sistem Informasi Pengambilan Keputusan Kelulusan Siswa Sekolah Menengah Kejuruan (SMK) Berdasarkan Standar Nasional Pendidikan (BSNP)”. Metode penelitian yang digunakan oleh penulis adalah metode deskriptif, sebagai upaya untuk mendapatkan gambaran mengenai metode pengumpulan data penulis menggunakan metode wawancara, dan observasi. Dalam pengembangan sistem, penulis menggunakan metode SDLC (system development life cycle). Untuk pemodelan sistem penulis menggunakan alat bantu perancangan yaitu bagan alir dokumen, diagram konteks, diagram alir data (DFD). Untuk perancangan basis data digunakan metode normalisasi, relasi tabel, dan entity relationship diagram (ERD). Impelementasi dan rancangan program menggunakan bahasa pemograman visual basic 6.0 dan database Microsoft Access. Dengan diimplementasikannya sistem informasi pengambilan keputusan kelulusan pada SMK Negeri 1 Kempas Kecamatan Kempas Kabupaten Indragiri Hilir diharapkan dapat memudahkan proses pengolahan nilai dalam pelaksanaan sistem informasi tersebut, sehingga membantu mencapai hasil yang maksimal. Kata kunci: Sistem Informasi, SDLC (system development life cycle), Microsoft Acces, Visual Basic 6.0.",human
Sistemasi (Sistem Informasi) UNISI,2013,"Penelitian ini mengembangkan sistem pendukung keputusan (SPK) dengan memamfaatkan metode analytical hierarchy process (AHP) sebagai proses dalam seleksi penerimaan siswa baru. Dalam proses seleksi ini digunakan beberapa kriteria untuk menentukan calon siswa baru yang mana yang akan diterima. SPK ini membantu sekolah dalam memutuskan siswa mana yang akan diterima. Penelitian skripsi ini lebih menitik beratkan kepada bagaimana merancang dan mengimplementasikan program serta dimaksudkan agar memudahkan dalam hal perhitungan. AHP digunakan sebagai metode dalam perhitungan dalam seleksi penerimaan siswa baru ini. Keyword : sistem pendukung keputusan, SDLC,AHP",human
Sistemasi (Sistem Informasi) UNISI,2013,"Air merupakan faktor penting dalam pemenuhan kebutuhan vital bagi mahluk hidup diantaranya sebagai air minum atau keperluan rumah tangga lainnya. Air yang digunakan harus bebas dari kuman penyakit dan tidak mengandung bahan beracun. Sumber air minum yang memenuhi syarat sebagai air baku air minum jumlahnya makin lama makin berkurang sebagai akibat ulah manusia sendiri baik sengaja maupun tidak disengaja. Disi lain masyarakat yang membutuhkan air semakin hari semakin bertambah dengan lajunya pertumbuhan penduduk.sehingga air minum menjadi kebutuhan yang sangat vital didalam kehidupan sehari-hari,Penelitian ini mengembangkan tentang sistem pendukung pengambilan keputusan (SPK) untuk menentukan atau melihat minat beli konsumen atau masyarakat terhadap air minum isi ulang di tembilahan. Metode yang digunakan dalam penelitian ini menggunakan metode ahp (analitycal hierarchy process) sebagai alat bantu dalam pengambilan keputusan. SPK ini lebih menitik beratkan bagaimana cara merancang serta menentukan minat beli masyarakat tersebut serta mengimplementasikan program yang dimaksudkan agar mempermudah proses perhitungan. Kata Kunci : sistem pendukung pengambilan keputusan, AHP",human
Sistemasi (Sistem Informasi) UNISI,2017,"Keadaan sistem informasi perpustakaan yang ada di Universitas Islam Indragiri sudah menggunakan pemrograman web based akan tetapi anggota perpustakaan belum dapat melihat dan melakukan proses meminjam koleksi buku secara online. Aplikasi ini hanya menampilkan informasi aturan simulasi perpustakaan secara umum. Sehingga perlu dilakuka analisa dan desain sistem informasi perpustakaan yang sesuai dengan misi perpustakaan UNISI, yaitu memberikan pelayanan maksimal kepada pengguna perpustakaan, baik pengguna internal maupun eksternal perpustakaan, dengan memberikan pelayanan secara online sehingga koleksi yang ada pada perpustakaan dapat diakses kapan saja dan dimana saja tanpa terpengaruh jarak, ruang dan waktu yaitu dengan memanfaatkan teknologi jaringan internet, maka tujuan ini dapat direalisasikan dengan membangun infrastruktur yang mendukung akses internet. Jika dibandingkan dengan Sistem Desktop, Sistem Web Base tidak memiliki batasan waktu dan tempat untuk mengaksesnya. Maka dari itu perlu adanya sebuah rancangan sistem perpustakaan yang baru. Pada penelitian ini hanya melakukan analisis dan perancangan model sistem informasi perpustakaan, belum dilakukannya implementasi sistem perpustakaan. Maka dari itu penelitian ini hanya bertujuan untuk analisis dan perancangan model sistem perpustakaan. Kata Kunci: Desain Model, Perpustakaan, Universitas Islam Indragiri.",human
Sistemasi (Sistem Informasi) UNISI,2016,"PT.Integra Enviro Energy merupakan perusahaan yang bergerak dibidang Jasa Pertambangan Umum yang berdiri pada tanggal 12 Desember 2010, dan telah memperoleh Ijin Usaha Jasa Pertambangan Mineral, Batubara dan Panas Buni yang sesuai dengan Keputusan Menteri Energi dan Sumber Daya Mineral No. 973.K/30/DJB/2011 tertanggal 9 Agustus 2011 tentang Pemberian Ijin Usaha Jasa Pertambangan kepada PT. Integra Enviro Energy.Sistem Informasi yang berjalan di PT. Integra Enviro Energy dalam pengolahan data khususnya di bagian pelaporan dan penggunaan dana operasional masih menggunkan sistem komputerisasi sederhana, yang artinya walaupun sudah didukung dengan teknologi komputer akan tetapi tetapi pemanfaatannya hanya sebatas penggunaan Microsoft Office Excel dan Word sehingga memungkinkan banyak terjadi kesalahan dalam pengolahan data penggunaan dana dalam operasional yang ada.Hal ini dapat menyebabkan pelayanan terhadap kebutuhan akan informasi penggunaan dana operasional di lingkungan PT. Integra Enviro Energy menjadi kurang efisien, serta mengakibatkan kesulitan dalam pencarian data dan menyita waktu yang relatif lama untuk pembuatan laporan. Untuk membantu dalam pemecahan masalah tersebut perlu adanya sistem informasi yang baru dengan memanfaatkan teknologi informasi agar setiap pekerjaan yang berhubungan dengan pengolahan datanya dapat mengurangi tingkat kesalahannya serta dapat memberikan pelayanan yang lebih baik terhadap para pengguna sistem informasi untuk penggunaan dana operasional yang ada pada PT. Integra Enviro Energy.Hasil akhir dari penelitian ini adalah pembangunan sebuah aplikasi sistem informasi pengolaan dana operasional yang diharapkan dapat membantu pihak perusahan dalam lakukan kegiatan operasional perusahan. Kata Kunci :Sistem Informasi, Pengolahan Dana, Operasional, PT. Integra Enviro Energy.",human
Sistemasi (Sistem Informasi) UNISI,2013,"Pemilihan lokasi usaha adalah hal utama yang perlu dipertimbangkan. Lokasi strategis menjadi salah satu faktor penting dan sangat menentukan keberhasilan suatu usaha. Adapun Permasalahan yang sering terjadi yaitu kriteria-kriteria yang ada sering kali bertentangan dengan keinginan dan kemampuan pelaku usaha dalam menentukan lokasi toko buku sehingga dibutuhkan suatu pemecahan masalah yang bisa menghasilkan alternatif terbaik serta keputusan yang dihasilkan dalam penentuan lokasi usaha toko buku yang hanya mengandalkan intuisi serta pengalaman saja cendrung lambat dan tidak objektif. Salah satu solusi untuk penentuan lokasi usaha dapat dilakukan dengan sistem pengambilan keputusan yang terkomputerisasi dengan menggunakan metode Analytic Hierarchy Process (AHP). Penelitian ini bertujuan memberikan solusi berbasis teknologi informasi berupa sistem pendukung keputusan yang dapat dijadikan pertimbangan dalam pemilihan lokasi toko buku yang strategis, serta untuk memudahkan dalam pengambilan kebijakan berdasarkan kriteria yang terbaik dalam pemilihan lokasi pendirian toko buku yang strategis. Dengan adanya penelitian ini diharapkan dapat memberikan kemudahan bagi para pelaku usaha dengan memberikan beberapa kriteria-kriteria yang bisa dijadikan sebagai pertimbangan dalam memilih lokasi usaha toko buku yang strategis, serta penggunaan metode AHP dalam memperhitungkan lokasi yang strategis dapat menghasilkan alternatif lokasi sesuai dengan harapan dan kemampuan pelaku usaha dan perhitungan yang dilakukan diharapkan dapat menghasilkan suatu keputusan yang cepat dan objektif.Kata Kunci : Analytic Hierarchy Process, SPK Lokasi Toko Buku.",human
Sistemasi (Sistem Informasi) UNISI,2014,"Dinas pendidikan Kabupaten Indragiri Hilir merupakan instansi yang telah menggunakan sistem komputerisasi dalam melaksanakan kegiatannya. Namun berbagai jenis sistem yang digunakan sangat memungkinkan timbulnya berbagai kerumitan dalam pecarian informasi-informasi, salah satunya informasi dalam mengolah pengusulan kenaikan gaji berkala yang dibutuhkan untuk memberikan laporan dan penilaian dari suatu kegiatan. Dalam pengolahan data kenaikan gaji berkala masih menggunakan cara manual dengan cara melihat dari tabel gaji, sehingga dalam pembuatan SK kenaikan gaji memerlukan waktu yang lama. sampai saat ini dinas pendidikan masih mengalami kesulitan dalam menemukan arip kepegawaian guru yang megusulkan kenaikan gaji berkala, serta masih lambatnya proses pengajuan gaji berkala karena masih memakai sistem manual. Oleh karena itu diperlukan suatu aplikasi untuk memberikan solusi pada permasalahan tersebut. Dalam penelitian ini sistem informasi yang akan dikembangkan adalah sistem informasi modern berbasis web, sehingga bisa dikembangkan lebih lanjut demi kemajuan dan kepentingan instansi seiring dengan perkembangan teknologi informasi yang ada. Kata Kunci : Sistem Informasi, Pengusulan Kenaikan Gaji Berkala Berbasis Web",human
