source,year,abstract,label
INTI Nusa Mandiri (IndoT5 Parafrase),2017,"(tax amnesty) di indonesia masih merupakan wacana yang pro dan kontra, pada prinsipnya, penerapan kebijakan pengampunan pajak diharapkan tidak hanya menghapus hak tagih atas wajib pajak (wp), tetapi juga dapat meningkatkan kepatuhan wajib pajak dalam jangka panjang, sehingga dapat meningkatkan penerimaan negara dari dana yang diparkirkan di luar negeri, tetapi lebih penting lagi bahwa sarana dan prasaran yang memadai dapat mendukung peningkatan penerimaan pajak di masa mendatang. dengan cara yang lebih jelas, dan tidak didukung oleh sarana dan sarana yang memadai, sehingga meningkatkan pendapatan pajak di masa depan,",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"ini adalah salah satu bentuk organisasi yang di dalamnya terdapat proses belajar mengajar dan proses pengolahan data siswa, yang tidak dapat dimonitor secara keseluruhan tanpa adanya pengorganisasian yang tepat. tujuan dari penelitian ini adalah untuk membangun sistem informasi siswa yang diharapkan dapat digunakan dalam pengelolaan sistem yang ada di sma n 1 tembilahan hulu. kata kunci siswa, sistem informasi, sdlc dan sman 1 tembakan hulu. 1, dengan tujuan untuk mencapai hasil yang terbaik dari kemajuan teknologi yang dimiliki oleh sekolah tersebut. pembelajaran pada siswa -, dengan struktur. dengan cara yang tepat, dengan demikian.",ai
Jurnal INFOTEL IT Telkom,2016,"sistem pengenalan diri (personal recognition) adalah sebuah sistem untuk mengenali identitas seseorang secara otomatis dengan menggunakan computer dengan kata sandi (password), id card, atau pin untuk mengidentifikasi seseorang. namun,pengenalan diri dengan sistem tersebut memiliki beberapa kelemahan yaitu dapat dicuri dan mudah diduplikasi, memiliki kemungkinan seseorang untuk lupa dan beberapa password dapat diperkirakan sehingga dapat dimanfaatkan oleh orang-orang yang tidak bertanggungjawab. untuk dapat mengenali seseorang secara otomatis dapat dilakukan secara komputasi, yaitu dengan menggunakan jaringan syaraf tiruan. penelitian ini mengimplementasikan metode jaringan syaraf tiruan learning vector quantization dengan objek pengenalan yaitu telapak tangan. dalam penelitian ini model proses pengembangan perangkat lunak",human
Jurnal Sisfokom ISB Atma Luhur,2016,"kerusakan pada komputer memiliki berbagai macam kerusakan dari kerusakan ringan maupun berat yang menyebabkan banyak service center yang banyak dibuka. akan tetapi seiring banyaknya service center yang dibuka, banyak pula service center yang melakukan penipuan pada pelanggan. untuk mengatasi hal tersebut dibangunlah aplikasi yang digunakan dalam pencarian diagnosa kerusakan komputer yang menggunakan metode breadth first search dan vikor. pengujian yang dilakukan adalah dengan melakukan uji coba aplikasi dengan menggunakan metode black box. dari hasil pengujian yang dilakukan dapat diambil kesimpulan bahwa algoritma breadth first search dapat melakukan proses pencarian solusi melalui pemilihan gejala-gejala yang ada, kemudian metode vikor dapat melakukan",human
ILKOM Jurnal Ilmiah UMI Makassar,2016,"sistem e-ktp yang yang diadopsi pemerintah menerapkan sistem database nasional kependudukan terpusat. database ini menjadi referensi resmi dan yang dipercaya untuk mengidentifikasi status dan informasi kewarganegaraan seseorang. siapapun baik perseorangan maupun lembaga dapat menjadikan referensi database nasional untuk memproses data kependudukan seseorang melalui sistem perangkat lunak kantor, lembaga atau struktur pemerintahan lokal di indonesia. kehadiran teknologi sistem terdistribusi dengan jenis arsitektur berbasis protokol soap, memungkinkan komunikasi perangkat lunak lintas platform sistem operasi dan bahasa pemrograman, berkomunikasi dengan model database apapun yang menyediakan antarmuka aplikasi layanan web. penelitian ini telah menguji arsitektur soap untuk mengakses struktur data kependudukan dengan menggunakan perangkat",human
Jurnal INFOTEL IT Telkom (IndoT5 Parafrase),2016,"penelitian ini mengangkat kasus pada kampus 2 politeknik negeri ujung pandang (pnup) yang belum memiliki fasilitas jaringan wireless, sedangkan pemanfaatannya sudah dimulai pada awal tahun ajaran 20152016, oleh karena itu disarankan untuk mempertimbangkan cakupan area dan kapasitas, karena rancangan yang mempertimbangkan cakupan area dan kapasitas hanya dapat memenuhi 77,00 kebutuhan ap dalam merancang penempatan ap di kampus 2 pnup, sesuai dengan kondisi tersebut, maka harus mempertimbangkan cap dan kapasitas. dan 25 kebutuhan ap. dari kebutuhan ap, dan jan, bahwa, sehingga. jaringan, serta, sebagai berikut, dimana, khususnya. yaitu, masing-masing-masing, dan kapasitas, sebagaimana adanya, berdasarkan cakupan dan kapasitas, seperti, antara, hal-, aplikasi,",ai
Jurnal INFOTEL IT Telkom,2017,"kapasitas kanal adalah parameter penting sistem komunikasi nirkabel. suatu sistem komunikasi diharapkan mampu menyediakan kapasitas kanal yang tinggi. sistem dengan multipe input multiple output (mimo) antenna mampu menyediakan kapasitas kanal yang tinggi. pada penelitian ini, kinerja sistem mimo diamati dengan penerapan scalable orthogonal frequency division multiple access (sofdma). teknik adaptive modulation and coding (amc) serta adaptive mimo switching (ams) juga diterapkan pada sistem ini. jumlah subcarrier yang digunakan dalam sofdma tersebut yaitu 128 dan 2048. kinerja sistem yang diamati yaitu kapasitas kanal dengan variasi kecepatan pengguna. variasi pergerakan pengguna meliputi 0 kmjam dan 120 kmjam. kapasitas kanal sistem dengan kombinasi",human
"CESS (Computer Engineering, System and Science)",2017,"pada era teknologi ini hampir semua kebutuhan menggunakan jaringan internetsebagai media untuk membantu kegiatan apapun, pengguna jaringan internet saat ini yangterbanyak adalah di area kampus atau universitas, mulai dari proses belajar mengajar, absensionline , krs online, e-learning, dan lain-lain yang seluruhnya membutuhkan akses internet,jaringan di campus ini dikenal dengan nama campus area network dimana system jaringancampus disesuaikan dengan kebutuhan yang diperlukan, salah satu system jaringan yang yangmempermudah dalam pengelolaan campus area network ini adalah dengan menggunakan systemjaringan inter vlan routing, sehingga penanganan jaringan akan dapat efisien, adapun studi kasusuntuk penggunaan inter vlan routing ini akan disimulasikan berdasarkan topologi jaringan yangada",human
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK",2017,"dewasa ini perkembangan teknologi semakin pesat baik di negara maju ataupun negara berkembang seperti indonesia. pelaksanaan proses belajar mengajar di lembaga pendidikan dituntut untuk menggunakan berbagai macam strategi pembelajaran untuk meningkatkan kualitas belajar siswa. dengan adanya teknologi berbasis augmented reality (ar), dimana dengan teknologi tersebut dapat menggabungkan benda maya dua dimensi dan ataupun tiga dimensi ke dalam sebuah lingkungan nyata tiga dimensi lalu memproyeksikan benda-benda maya tersebut secara real-time. benda-benda maya menampilkan informasi berupa label maupun obyek virtual yang hanya dapat dilihat dengan kamera handphone maupun dengan komputer.pada penulisan ilmiah ini, penulis menggunakan teknologi berbasis augmented reality ini pada sebuah",human
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2014,"sis adalah perangkat lunak yang digunakan untuk membangun sistem informasi geografis, arcview dapat menampilkan elemen rupa bumi (jalan, sungai, perbatasan dan sebagainya), yang ditampilkan dalam berbagai format. penelitian yang telah dilakukan menghasilkan rancangan basis data yang terdiri dari 9 tabel dan antarmuka visualisasi industri di kabupaten kudus. rancangan yang telah dibuat dapat menampilkan lokasi industri konveksi yang tersebar di kabupaten kudus. yang dapat memberikan informasi tentang penyerapan investor untuk penanaman modal. yang sesuai dengan spesifikasi yang ditetapkan oleh pengguna. ) yang dapat menyediakan informasi yang dapat menyajikan informasi geografis.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"sistem cerdas yang digunakan adalah sistem pakar dengan menggunakan teknik diagnose gejala, selanjutnya ditemukan penyakit dan solusi, pasien cukup berkonsultasi dengan sistem ini untuk mendapatkan hasil diagnosis lebih awal penyakitnya, apakah demam gejala biasa atau karana nyamuk, dengan adanya model yang digunakan dalam pengembangan sistem ini. model yang digunakan pada pengembangan sistem tersebut adalah model terstuktur. - model yang diterapkan dalam mengembangkan sistem tersebut.",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2013,"di bawah metode kontrol fuzzy logic, yang terdiri dari beberapa tahapan, input yang harus difuzzifikasi kemudian output dari fuzzifikasi ini diteruskan ke proses inferensi yang berisi beberapa aturan fuzzy, kemudian output defuzzification diteruskan ke proses defuzzifying untuk diubah menjadi keluaran (crisp output) untuk menggerakkan motor, waktu respon yang dibutuhkan untuk kembali ke kondisi seimbang. waktu respon yang diperlukan untuk mengembalikan keseimbangannya sendiri adalah 0,7s. (0,0s) (f).",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2014,"( 1 ) penelitian ini bertujuan untuk mengembangkan alat destilator bioetanol dengan tujuan untuk mengembangkan menara refluk dengan sistem bertingkat, dengan kapasitas tangki 34 dari volume tabung atau 40 liter, sementara di indonesia, banyak sekali sumber daya hayati yang dapat digunakan sebagai bahan baku untuk memproduksi bioethanol, salah satunya adalah ubikayu. penggunaan bioetanal sebagai bahan bakar yang paling banyak digunakan, karena sifatnya yang non-renewable, oleh karena itu diperlukan upaya untuk mencari bahan bakar alternatif yang ramah lingkungan dan ramah lingkungan. pembangkitan yang lebih lanjut untuk menghasilkan ethanol yang lebih tinggi, yang lebih besar, dan uji coba pada tingkat yang lebih",ai
JUSIFO UIN Raden Fatah (IndoT5 Parafrase),2017,", perangkat lunak yang dibangun berbasis web menggunakan metode pengembangan sistem web engineering dan framework codeigniter sebagai framework untuk membangun web yang dinamis, menyediakan berbagai macam soal tes potensi akademik dan pengetahuan umum, pelaksanaan tes menampilkan waktu yang berjalan (timer), dapat mengelola soal, tersedia informasi tentang tips dan trik, dan menghasilkan output berupa nilai dan rangking peserta ujian. peserta ujian dapat dibantu oleh perangkat lunak ini untuk mencapai tujuan dalam mempelajari dan memfasilitasi latihan sebelum pelaksanaan tes. tes potensi akademik dan pengetahuan umum, sehingga memudahkan pengguna untuk melakukan tes.",ai
"CESS (Computer Engineering, System and Science)",2016,"ukuran data pada proses komunikasi data menggunakan web service dalam jaringan akan sangat memengaruhi kecepatan proses transfer. xml dan json merupakan format data yang digunakan pada saat komunikasi data pada web service. json akan menghasilkan ukuran data yang lebih kecil jika dibandingkan dengan format xml.keywords komunikasi data, web service, xml, json.",human
JIP (Jurnal Informatika Polinema) (IndoT5 Parafrase),2016,"untuk meningkatkan kinerja setiap resort ptn perlu adanya penilaian yang dilakukan secara berkala oleh jajaran pengelola tnbts, tetapi penilaian saat ini masih dilakukan secara manual dan menggunakan pandangan individu, sehingga tidak dapat diukur dengan baik. sistem pendukung keputusan penilaian kinerja resort pengelolaan taman nasional bromo-tengger semeru, hasil dari sistem ini telah diuji kecocokannya dengan perhitungan petugas tn bts, dengan tingkat kecocokan 75. oleh karena itu, sistem tersebut telah dirancang dan dapat diimplementasikan. sehingga sistem tersebut dapat digunakan. - aplikasi ini, dan dapat digunakan oleh sistem tersebut. (a), dan aplikasi tersebut, sehingga dapat digunakan untuk menilai kinerja yang bersangkutan, aplikasi tersebut",ai
Jurnal Sisfokom ISB Atma Luhur (IndoT5 Parafrase),2017,", peneliti berencana untuk membangun sistem informasi berbasis web museum negeri sumatera selatan, yang akan berisi informasi tentang benda-benda bersejarah yang ada di museum balaputra dewa, tetapi juga untuk melestarikan makna yang ada pada sistem, nilai-nilai dan norma-norma yang ada. oleh karena itu, sistem informasi ini diharapkan dapat memberikan informasi yang dapat didunakan sebagai media pembelajaran bagi masyarakat umum. benda sejarah yang tersimpan di museum balaputra dewa. dan dapat digunakan sebagai media pendidikan. -peran museum sangat penting dalam mengembangkan wawasan dan pengetahuan, dan dapat menjadi media pembelajaran masyarakat. dan sebagai media pendidikan masyarakat pengetahuan museum negeri sumsel, yang berkaitan dengan",ai
"SIMETRIS (Jurnal Teknik Mesin, Elektro dan Ilmu Komputer) UMK (IndoT5 Parafrase)",2017,"di daerah ini terdapat banyak ciri khas, baik dari segi objek wisata, budaya, kerajinan dan kuliner, yang menarik dan sering dikunjungi oleh wisatawan dari berbagai kota dan luar negeri, sehingga aplikasi ini hanya menampilkan informasi dan lokasi dari setiap tempat yang ada di daerah cirebon, seperti tempat wisata dan hotel. selain ukuran layar kurang dari 4. 0 inchi, aplikasi ini kurang bagus pada tampilan informasi objek wisata dan hotel. aplikasi tersebut tidak memiliki tampilan yang baik pada objek wisata dan hotel. - aplikasi ini hanya digunakan pada smartphone berbasis android. (4) aplikasi ini (3) (2) ), aplikasi (a).",ai
